ID,Screen / State,Screen Text (Figma),AI Voice,Expected User Response & Variations,AI Response,System Action,Partial / Ambiguous / Edge Cases,Notes,MP3?,How Audio Works
1. SPLASH SCREEN,,,,,,,,,,
SPLASH-01,"First open
(New user)","Logo: Guided Growth

Continue with Apple
Continue with Google
Sign up with email

""Already have an account? Log In""","[Auto-plays, default male voice, ~8 sec]

""Hey there. ...I might have startled you. You probably aren't used to an app just talking to you. I'm your AI coach inside Guided Growth - and I'd love to tell you more. Sign up, and we'll continue right where we left off.""","Tap: Continue with Apple
Tap: Continue with Google
Tap: Sign up with email
Tap: Log In

No voice input expected here.",-,"1. On screen load: play TTS audio (male, pre-cached)
2. On any button tap: stop audio immediately
3. Route to OAuth flow or email signup form
4. On OAuth success: extract name (Google: given_name, Apple: givenName)
5. Save user_profile {email, name, auth_method}
6. Set onboarding_state = 'welcome'
7. Navigate to POST-AUTH-01
8. Set first_open = true in localStorage","Audio MUST complete or stop before OAuth redirect.

RETURNING VISIT (not logged in, already heard hook): No voice. Skip audio. Normal auth flow. Check localStorage first_open flag.

RETURN FROM 'COME BACK LATER': Short voice: ""Hey - you're back. Ready to set up?"" Then normal auth or skip to POST-AUTH-01 if already authed. Check onboarding_state = 'paused_at_welcome'.

After splash voice: SILENCE until auth completes. No more voice until POST-AUTH-01.",~8 sec. Hook + coach intro + reason to sign up. Slightly longer than before but earns the extra seconds.,yes,pre-recorded
2. AUTHENTICATION,,,,,,,,,,
AUTH-01,"Create Account
(Email signup)","""Create an Account""
""Start tracking better habits and finding you""

Email / Password fields
Button: ""Sign Up""
""Already have an account? Log In""",[No voice],"Type: email + password
Tap: Sign Up
Tap: Log In (redirect)",-,"1. Validate email format, password strength (min 8 chars)
2. Supabase auth.signUp()
3. No name from email signup
4. Set onboarding_state = 'welcome'
5. Navigate to POST-AUTH-01","Weak password: inline error ""Password needs at least 8 characters.""
Email exists: ""This email already has an account. Try logging in.""
Invalid email: ""Please enter a valid email address.""
Network error: ""Connection issue. Check your internet and try again.""","Fast, functional.",no,-
AUTH-02,"Welcome Back
(Login)","""Welcome Back!""
""Let's check in with your habits today.""

Apple / Google / email+password
""Forgot Password?""
Button: ""Log In""
""Don't have an account? Sign Up""",[No voice on login screen - voice greets on Home after login],"Tap: OAuth
Type: email + password
Tap: Log In
Tap: Forgot Password
Tap: Sign Up",-,"1. Supabase auth.signIn()
2. On success: fetch user_profile + today's habits + pending goals
3. Navigate to Home
4. Home screen plays welcome back voice (see HOME-MORNING)","Wrong password: ""Incorrect password. Try again or tap 'Forgot Password.'""
Account not found: ""No account with that email. Want to sign up?""
Forgot Password: Supabase password reset email flow","Voice greeting happens on Home, not here.",no,-
3. POST-AUTH WELCOME (Full Coach Introduction),,,,,,,,,,
POST-AUTH-01,"Welcome
Coach introduction","Button: ""I'm ready - let's go""
Button: ""I'll come back later""","[Plays automatically after auth]

""Welcome, [Name]. [OR 'Welcome.'] I'm your AI coach inside Guided Growth, and I'm going to be with you from here on.

This isn't an app that gives you a list and hopes for the best. You'll talk to me in the morning. You'll talk to me at night. And between those two moments, the habits you want will start happening - not because you're forcing them, but because we're removing what's in the way.

This setup takes about three to five minutes. This is probably the longest we'll ever talk. After this, your check-ins are between 30 seconds and a couple of minutes, depending on how much you want to share. And those few minutes a day? They're designed to save you time - not add to your schedule. When the right habits click into place, you stop wasting energy on the things that weren't working. That's time back. Real time.

Everything you share with me - your mood, your habits, your reflections - we use all of it to give you better insights and to keep improving this experience. But here's the thing: your data is anonymized from the first second. We never connect it to you personally. So you get deep, real reflections about your life - without anyone knowing it's you. That's the best of both worlds.

When you're ready, let's begin.""","Tap: ""I'm ready - let's go""
Tap: ""I'll come back later""

No voice input on this screen.","[If 'I'm ready':] [Plays after user taps 'I'm ready']

""One thing before we start. I need you here right now. Present. Not multitasking. Not half-listening. What we're about to do is focus on you - and that deserves your full attention.

I know it sounds like a paradox - an app asking you to be present. But that's actually the goal: to help you spend less time on your phone, not more. That's why you talk to me instead of scrolling. Talking to your phone is better than being on your phone.

Let's go.""

[If 'Come back later':] ""No rush. I'll be here when you're ready.""","1. Check user_profile.name: if exists use it, if not use generic
2. Play welcome audio (TTS, male)
3. Wait for button tap
4. 'I'm ready': play presence ask, then onboarding_state = 'profile_setup', navigate to ONBOARD-01
5. 'Come back later': onboarding_state = 'paused_at_welcome'
6. Log PostHog: post_auth_welcome {has_name, action, listen_duration}","User might tap 'I'm ready' before welcome finishes - stop welcome audio, play presence ask.

MVP: Single male voice. Voice/style selection post-MVP.

Welcome is ~60 sec. Presence ask is ~25 sec after tap. Total ~85 sec split across two moments.",THE moment. Split into two parts: welcome (trust + info) then presence ask (focus + paradox). Neither feels like a monologue.,no,real-time
4. ONBOARDING - BEGINNER PATH,,,,,,,,,,
Step 1 of 7: Profile Setup,,,,,,,,,,
ONBOARD-01,"Profile Setup
Main flow","""Let's get to know you.""
""Tell us a bit about yourself, to personalize your journey.""

What should I call you? - field
How old are you? - slider
How do you identify? - Male/Female/Other
How did you hear about us? - Social media/Website/Friend/Other

Mic button
Button: ""Let's Begin""","""OK - let me get to know you a little. What's your name, how old are you, how do you identify, and how did you hear about us? You can just say it all or fill it in on screen.""","FULL ANSWER (all 4 at once):
""I'm Sarah, 32, female, found you on Instagram.""
""Mike, 28, male, a friend told me.""
""I'm Alex, 45, other, I saw an ad.""

PARTIAL ANSWERS:
Name only: ""I'm Sarah"" / ""Call me Mike"" / ""It's Alex""
Name + age: ""Sarah, 32"" / ""I'm Mike, I'm 28""
Name + age + gender: ""Sarah, 32, female"" (missing referral)
Age only: ""I'm 28"" / ""Twenty-five""

NAME VARIATIONS:
First name: ""Sarah"" -> nickname: Sarah
Full name: ""Sarah Johnson"" -> use first name: Sarah
Nickname: ""Call me Sam"" / ""Everyone calls me J"" -> use what they say
Unusual name: AI confirms spelling if unclear

AGE VARIATIONS:
Number: ""32"" / ""Thirty-two"" / ""I'm 32""
Range: ""Late twenties"" -> AI: ""Late twenties - can you give me a specific number? Just for personalization.""
""Mid thirties"" -> AI: ""Around 35? I'll put that in - you can change it anytime.""
Too young (<13): AI: ""This app is designed for users 13 and older. If you're under 13, you'd need a parent's help to set this up.""
Unreasonable (>100 or <5): AI: ""Did I hear that right? [age]?""

GENDER VARIATIONS:
Direct: ""Male"" / ""Female"" / ""Other"" / ""Non-binary""
Synonyms: ""Guy"" / ""Man"" / ""Boy"" / ""Dude"" -> Male
""Girl"" / ""Woman"" / ""Lady"" -> Female
""Non-binary"" / ""NB"" / ""Enby"" / ""Genderqueer"" / ""Genderfluid"" -> Other
""Prefer not to say"" / ""Rather not"" / ""Skip"" -> Other
""None of your business"" -> AI: ""Totally fair. I'll skip that one."" -> set as Other

REFERRAL SOURCE VARIATIONS:
Social media: ""Instagram"" / ""IG"" / ""Insta"" / ""TikTok"" / ""Twitter"" / ""X"" / ""Facebook"" / ""LinkedIn"" / ""Reddit"" / ""YouTube"" -> Social media
Website: ""Google"" / ""Searched for it"" / ""Your website"" / ""App Store"" / ""Play Store"" -> Website
Friend: ""A friend"" / ""My buddy"" / ""Someone recommended it"" / ""Word of mouth"" -> Friend
Other: ""Podcast"" / ""An ad"" / ""I don't remember"" / ""Just found it"" -> Other
Refuses: ""I don't know"" / ""Not sure"" -> set as Other, move on

OR Tap: Fill all fields manually -> Let's Begin","FULL (all 4 captured):
""Great to meet you, [Name]. Let's build something that actually works for you.""

3 OF 4 (missing referral only):
""Great to meet you, [Name]. And one more - how did you hear about us? You can just tap it on screen if you prefer.""
(If they don't answer referral, auto-set to Other and move on.)

NAME + AGE (missing gender + referral):
""Great to meet you, [Name]. And how do you identify? Also curious how you heard about us - you can just tap those.""

NAME ONLY:
""Hey [Name]. And how old are you?""
(After age:) ""Got it. And how do you identify?""
(After gender:) ""Last one - how did you hear about us?""

AGE ONLY (no name):
""Got it. And what should I call you?""

NOTHING RECOGNIZED:
""I didn't catch that clearly. Let's start simple - what's your name?""

CORRECTION:
""Wait, I said 32, I meant 33"" -> ""Updated to 33.""
""Actually, call me Sam instead"" -> ""Got it - Sam.""

ALL FIELDS FILLED (via any combination of voice + tap):
""Perfect. Let's go, [Name].""","1. Parse voice with NLP: extract {name, age, gender, referral_source}
2. Auto-fill form fields in real-time
3. On 'Let's Begin': validate all fields filled
4. Save to Supabase user_profile
5. Navigate to ONBOARD-02
6. Log PostHog: complete_profile {input_method, fields_via_voice}","CORE RULE: AI identifies what it got, asks ONLY for what's missing. Never re-asks what it already captured.

PARSING PRIORITY: Name > Age > Gender > Referral. If NLP only catches some fields, fill those and ask for the rest in order.

CONFIRMATION APPROACH: AI does NOT read back every field robotically. It weaves confirmation naturally:
Good: ""Great to meet you, Sarah. And how old are you?""
Bad: ""I got name: Sarah. Now I need age. Please provide age.""

NLP CATCHES PARTIAL:
If voice says ""I'm Sarah, thirty-two, I found you on TikTok"" and NLP gets name + age + referral but misses gender:
AI: ""Hey Sarah, 32 - got it. And how do you identify? Male, female, or other?""

FULL NAME -> FIRST NAME:
""Sarah Johnson"" -> nickname = Sarah. Don't ask ""Should I call you Sarah or Sarah Johnson?"" Just use first name.

TAP + VOICE MIX:
User might type name, say age via voice, tap gender, skip referral. All valid. System checks which fields are filled regardless of input method.

AGE EDGE CASES:
Under 13: Block account creation. ""This app is for users 13 and older.""
13-17: Allow but note as minor in user_profile for any content sensitivity.
""Late twenties"" / ""mid thirties"": Ask for specific number or suggest one (""Around 35?"").

GENDER REFUSES:
""None of your business"" / aggressive refusal: ""Totally fair. I'll skip that one."" Set as Other. No follow-up.

REFERRAL NOT CRITICAL:
If user fills name + age + gender and taps 'Let's Begin' without referral, allow it. Set referral as 'Other'. Do not block onboarding for this field.

LET'S BEGIN WITHOUT ALL FIELDS:
Name is required. Age is required. Gender defaults to Other if skipped. Referral defaults to Other if skipped.
If name OR age missing: show inline prompt ""Please tell us your name and age before continuing.""","Voice auto-fills form in real-time - magic moment #1.
Gender synonyms: boy/man/guy/dude -> Male, girl/woman/lady -> Female, non-binary/other -> Other",yes,"prompt: pre-recorded
responses: real-time"
Step 2 of 7: Experience Fork,,,,,,,,,,
